uid;____;______ _____;______ ____;_____ _____;_____ ____
10Ê023Ê903;26.04.2012 8:23;_____;370;______ _____ 500;500
10Ê028Ê299;01.05.2012 0:05;__ _____ 20;600;__ _____ 10;300
10Ê076Ê145;10.06.2013 10:29;___ _________;0;______ _____ 500 _________;380
10Ê028Ê811;01.05.2012 0:05;__ _____ 10;300;__ _____ 10;300
10Ê000Ê213;11.05.2012 10:23;______ _____ 600;600;______ _____ 600 _________;480
10Ê006Ê100;11.05.2012 18:37;______ _____ 500;500;______ _____ 500 _________;380
10Ê016Ê807;25.10.2014 11:23;___ _________;0;________;400
10Ê176Ê887;18.05.2016 12:07;________ 2015;399;_________ 200;200
10Ê026Ê843;17.05.2012 9:11;__ _____ 10;300;_______;300
10Ê067Ê233;26.03.2016 9:36;___ _________;0;________ 2015;399
10Ê071Ê530;17.05.2012 17:39;______ _____ 600;600;______ _____ 600 _________;480
10Ê028Ê811;21.05.2012 12:01;__ _____ 10;300;_______;300
10Ê028Ê811;21.05.2012 12:01;_______;300;_______;300
10Ê134Ê388;24.11.2015 8:23;_______;300;___ _________;0
10Ê177Ê669;04.06.2016 9:01;___ _________;0;________ 2015;399
10Ê113Ê078;01.11.2014 8:32;______ _____ 500 _________;380;___ _________;0
10Ê037Ê347;08.04.2016 8:32;________;400;___ _________;0
10Ê059Ê882;10.04.2013 10:16;___ _________;0;______ _____ 500 _________;380
10Ê028Ê289;15.02.2013 15:40;_______;300;____-_____ 444;324
10Ê027Ê296;04.09.2014 10:32;______ _____ 500 _________;380;___ _________;0
10Ê182Ê491;15.10.2016 9:40;___ _________;0;________ 2015;399
10Ê149Ê734;19.12.2014 17:15;___ _________;0;________;400
10Ê073Ê573;25.05.2012 7:20;______ _____ 500;500;______ _____ 500 _________;380
10Ê073Ê280;25.05.2012 13:06;______ _____ 500;500;______ _____ 500 _________;380
10Ê001Ê427;25.05.2012 14:11;______ _____ 500;500;______ _____ 500 _________;380
10Ê040Ê622;25.05.2012 22:16;______ _____ 500;500;______ _____ 500 _________;380
10Ê025Ê546;26.05.2012 1:53;______ _____ 500;500;______ _____ 500 _________;380
10Ê025Ê546;26.05.2012 1:54;______ _____ 500 _________;380;______ _____ 500 _________;380
10Ê005Ê030;07.12.2016 7:54;________;400;______ 100 __/_;0
10Ê066Ê565;27.05.2012 12:12;______ _____ 500;500;______ _____ 500 _________;380
10Ê066Ê565;27.05.2012 12:12;______ _____ 500 _________;380;______ _____ 500 _________;380
10Ê022Ê113;27.05.2012 22:46;______ _____ 500;500;______ _____ 500 _________;380
10Ê067Ê832;28.05.2012 11:28;______ _____ 500;500;______ _____ 500 _________;380
10Ê065Ê425;31.05.2012 21:09;______ _____ 600;600;______ _____ 600 _________;480
10Ê055Ê099;01.06.2012 0:05;___ _________;0;_______;300
10Ê068Ê713;03.06.2012 19:01;______ _____ 500;500;______ _____ 500 _________;380
10Ê134Ê815;19.12.2016 16:18;___ _________;0;_____ ______ 70;350
10Ê005Ê876;04.06.2012 19:03;______ _____ 500;500;______ _____ 600 _________;480
10Ê093Ê599;29.09.2014 10:51;_______;300;___ _________;0
10Ê114Ê643;01.10.2014 10:45;______ _____ 500 _________;380;___ _________;0
10Ê186Ê009;21.12.2016 8:18;________ 2015;399;___ _________;0
10Ê021Ê914;07.06.2012 15:18;______ _____ 500;500;______ _____ 500 _________;380
10Ê149Ê161;24.11.2016 7:14;_____ ______ 50;300;________ 2015;399
10Ê113Ê991;05.09.2016 16:13;___ _________;0;________ 2015;399
10Ê144Ê787;03.10.2014 10:51;___ _________;0;________;400
10Ê004Ê383;14.06.2012 16:43;______ _____ 700;700;______ _____ 700 _________;580
10Ê134Ê075;26.04.2016 0:03;______ _____ 500 _________;380;_______ _______ 70;350
10Ê082Ê468;10.09.2015 10:59;___ _________;0;________ 2015;399
10Ê015Ê453;26.06.2012 16:50;______ _____ 500;500;______ _____ 500 _________;380
10Ê086Ê996;15.10.2014 10:50;________;400;___ _________;0
10Ê070Ê952;01.07.2012 0:05;___ _________;0;_______;300
10Ê066Ê104;01.07.2012 0:05;______ _____ 500;500;_______;300
10Ê017Ê299;16.01.2016 9:41;___ _________;0;___________ 50;250
10Ê073Ê129;12.07.2012 13:12;______ _____ 500;500;______ _____ 500 _________;380
10Ê126Ê918;27.02.2016 9:25;___ _________;0;_____ ______ 50;300
10Ê018Ê671;05.04.2016 14:27;_____ ______ 50;300;___________ 50;250
10Ê151Ê962;15.07.2015 13:51;___ _________;0;________ 2015;399
10Ê170Ê360;06.01.2016 9:53;___ _________;0;_____ ______ 50;300
10Ê064Ê527;21.07.2012 9:58;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê062Ê861;10.09.2016 10:05;___ _________;0;________ 2015;399
10Ê078Ê923;23.07.2012 12:23;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê009Ê239;24.07.2012 10:44;______ _____ 500;500;______ _____ 500 _________;380
10Ê022Ê468;24.07.2012 10:49;______ _____ 500;500;______ _____ 500 _________;380
10Ê151Ê577;09.07.2016 9:20;___ _________;0;________ 2015;399
10Ê088Ê530;21.02.2016 9:30;___ _________;0;_____ ______ 70;350
10Ê008Ê749;08.08.2012 11:31;______ _____ 500;500;______ _____ 500 _________;380
10Ê092Ê781;25.10.2014 14:59;______ _____ 600 _________;480;________;400
10Ê069Ê462;09.08.2012 11:19;______ _____ 500;500;______ _____ 500 _________;380
10Ê144Ê497;03.10.2014 18:37;___ _________;0;________;400
10Ê146Ê120;27.10.2014 11:33;___ _________;0;________;400
10Ê144Ê753;02.10.2014 11:48;___ _________;0;________;400
10Ê020Ê740;14.08.2012 12:16;______ _____ 500;500;______ _____ 500 _________;380
10Ê084Ê010;30.12.2016 14:00;____ 50;299;________ 2015;399
10Ê020Ê240;17.08.2012 15:25;______ _____ 600;600;______ _____ 600 _________;480
10Ê151Ê962;02.12.2016 8:33;________ 2015;399;___ _________;0
10Ê184Ê981;19.11.2016 9:02;___ _________;0;_____ ______ 50;300
10Ê152Ê652;27.08.2016 9:35;___ _________;0;________ 2015;399
10Ê035Ê910;11.10.2014 15:08;___ _________;0;________;400
10Ê085Ê274;30.10.2014 16:33;______ _____ 500 _________;380;________;400
10Ê184Ê359;06.11.2016 9:27;___ _________;0;_____ ______ 50;300
10Ê140Ê290;07.08.2015 8:43;______ _____ 600 _________;480;___ _________;0
10Ê144Ê026;16.01.2016 9:53;___ _________;0;_____ ______ 50;300
10Ê105Ê820;22.05.2013 14:36;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê025Ê672;30.10.2014 9:04;________;400;___ _________;0
10Ê144Ê497;26.04.2016 9:05;________;400;___ _________;0
10Ê069Ê464;08.10.2016 9:36;___ _________;0;_____ ______ 70;350
10Ê013Ê199;10.12.2014 11:36;______ _____ 500 _________;380;________;400
10Ê058Ê435;22.10.2012 11:27;___ _________;0;______ _____ 500 _________;380
10Ê013Ê928;22.10.2012 12:49;_____;370;______ _____ 500 _________;380
10Ê085Ê459;22.10.2012 15:30;___ _________;0;______ _____ 500 _________;380
10Ê157Ê666;18.05.2015 19:02;___ _________;0;_____ ______ 50;300
10Ê033Ê733;17.09.2016 9:45;___ _________;0;___________ 50;250
10Ê007Ê287;22.10.2014 11:16;______ _____ 600 _________;480;___ _________;0
10Ê174Ê874;06.07.2016 8:55;___ _________;0;________ 2015;399
10Ê103Ê256;23.09.2014 11:58;________;400;___ _________;0
10Ê078Ê565;03.06.2015 8:29;______ _____ 500 _________;380;___ _________;0
10Ê175Ê562;03.09.2016 8:58;___ _________;0;________ 2015;399
10Ê077Ê030;25.10.2012 16:56;___ _________;0;______ _____ 600 _________;480
10Ê119Ê076;29.07.2015 9:08;______ _____ 600 ____;480;___ _________;0
10Ê175Ê743;23.04.2016 10:15;___ _________;0;_____ ______ 50;300
10Ê030Ê835;29.10.2012 11:14;___ _________;0;______ _____ 500 _________;380
10Ê014Ê382;09.04.2016 9:30;___ _________;0;_____ ______ 50;300
10Ê176Ê523;07.05.2016 9:36;___ _________;0;_____ ______ 50;300
10Ê028Ê310;19.03.2016 11:12;___ _________;0;___________ 50;250
10Ê086Ê492;31.10.2012 18:02;_______;300;_______;300
10Ê029Ê362;01.11.2012 0:05;____-_____ 544;424;______ _____ 500 _________;380
10Ê009Ê147;01.11.2012 0:05;_______;300;________;0
10Ê073Ê307;21.10.2014 10:39;___ _________;0;________;400
10Ê084Ê030;02.11.2012 12:00;___ _________;0;_______+;500
10Ê084Ê146;02.11.2012 13:26;___ _________;0;______ _____ 500 _________;380
10Ê089Ê909;28.02.2014 15:05;______ _____ 700 _________;580;__________;679
10Ê086Ê381;02.11.2012 19:49;___ _________;0;______ _____ 600 _________;480
10Ê002Ê043;03.06.2012 19:12;______ _____ 500;500;______ _____ 500 _________;380
10Ê002Ê952;15.10.2014 12:07;_____________;240;________;400
10Ê002Ê952;01.09.2014 0:54;_____________ _____;360;_____________;240
10Ê173Ê656;13.03.2016 13:05;___ _________;0;_____ ______ 70;350
10Ê150Ê553;21.02.2016 9:35;___ _________;0;_____ ______ 70;350
10Ê126Ê365;21.10.2014 10:43;________;400;___ _________;0
10Ê118Ê751;22.10.2014 11:31;______ _____ 600 _________;480;___ _________;0
10Ê086Ê794;08.11.2012 12:57;___ _________;0;_______;300
10Ê156Ê401;30.01.2016 9:36;___ _________;0;________ 2015;399
10Ê131Ê590;21.09.2016 8:33;________ 1 ____;800;________;400
10Ê149Ê734;30.11.2016 8:17;________;400;___ _________;0
10Ê006Ê836;27.02.2016 9:42;___ _________;0;_____ ______ 50;300
10Ê030Ê257;09.11.2012 14:51;___ _________;0;______ _____ 500 _________;380
10Ê001Ê263;11.11.2012 11:50;___ _________;0;______ _____ 500 _________;380
10Ê085Ê274;19.03.2015 8:11;________;400;___ _________;0
10Ê035Ê979;15.07.2012 17:06;______ _____ 500;500;______ _____ 500 _________;380
10Ê087Ê362;13.11.2012 15:18;___ _________;0;______ _____ 500 _________;380
10Ê185Ê327;26.11.2016 9:24;___ _________;0;_____ ______ 70;350
10Ê113Ê991;20.10.2016 8:01;________ 2015;399;_____ ______ 70;350
10Ê104Ê691;06.05.2013 15:41;___ _________;0;______ _____ 500 _________;380
10Ê044Ê084;08.10.2014 12:47;______ _____ 600 _________;480;________;400
10Ê173Ê656;30.09.2016 8:09;_____ ______ 70;350;______ 30 __/_;0
10Ê076Ê082;22.09.2014 13:26;___ _________;0;________;400
10Ê026Ê587;26.04.2016 0:03;______ _____ 500 _________;380;_______ _______ 70;350
10Ê081Ê717;18.02.2014 20:32;___ _________;0;_______;300
10Ê081Ê717;10.10.2014 13:07;_______;300;___ _________;0
10Ê088Ê028;16.11.2012 17:24;___ _________;0;______ _____ 500 _________;380
10Ê066Ê193;16.11.2012 18:01;___ _________;0;______ _____ 500 _________;380
10Ê183Ê542;22.10.2016 9:25;___ _________;0;_____ ______ 70;350
10Ê104Ê341;24.10.2014 11:11;______ _____ 500 _________;380;___ _________;0
10Ê022Ê897;06.02.2016 10:01;___ _________;0;_____ ______ 70;350
10Ê093Ê014;03.09.2015 11:21;___ _________;0;_____ ______ 50;300
10Ê145Ê074;09.10.2014 11:58;___ _________;0;________;400
10Ê134Ê815;22.12.2016 8:11;_____ ______ 70;350;_________ 200;200
10Ê178Ê330;05.10.2016 7:29;________ 2015;399;________;400
10Ê088Ê430;23.11.2012 16:24;___ _________;0;______ _____ 500 _________;380
10Ê028Ê289;10.06.2016 8:37;____-_____ 444;324;___ _________;0
10Ê157Ê666;27.09.2016 8:47;_____ ______ 50;300;___ _________;0
10Ê152Ê106;29.10.2016 9:39;___ _________;0;________ 2015;399
10Ê097Ê678;06.08.2016 8:59;___ _________;0;________;400
10Ê088Ê468;29.11.2012 10:44;___ _________;0;______ _____ 600 _________;480
10Ê036Ê997;30.01.2016 9:56;___ _________;0;_____ ______ 70;350
10Ê088Ê514;29.11.2012 15:01;___ _________;0;______ _____ 600 _________;480
10Ê008Ê785;29.11.2012 15:05;___ _________;0;______ _____ 500 _________;380
10Ê071Ê405;19.09.2016 10:45;___ _________;0;___________ 50;250
10Ê063Ê299;01.10.2014 13:45;______ _____ 500 _________;380;___ _________;0
10Ê057Ê197;14.10.2014 17:50;______ _____ 500 _________;380;________;400
10Ê078Ê302;01.12.2012 0:05;______ _____ 500 _________;380;_______;300
10Ê014Ê522;03.05.2016 9:28;___ _________;0;________ 2015;399
10Ê130Ê202;21.10.2014 11:28;_______;300;___ _________;0
10Ê175Ê204;10.04.2016 9:15;___ _________;0;________ 2015;399
10Ê130Ê808;05.09.2016 15:18;________;400;___________ 70;350
10Ê171Ê465;14.07.2016 7:54;_____ ______ 50;300;________ 2015;399
10Ê071Ê346;05.12.2012 17:14;___ _________;0;______ _____ 600 _________;480
10Ê092Ê958;15.01.2013 16:41;___ _________;0;______ _____ 500 _________;380
10Ê084Ê010;03.01.2017 8:28;________ 2015;399;____ 50;299
10Ê143Ê771;20.10.2016 19:08;________;400;________ 200 ____;449
10Ê089Ê694;06.12.2012 15:17;___ _________;0;_______;300
10Ê169Ê514;24.12.2015 8:14;________ 1 ____;800;______ 1 __/_;0
10Ê105Ê820;10.02.2016 8:04;______ _____ 600 _________;480;___ _________;0
10Ê128Ê847;17.01.2014 11:51;___ _________;0;______ _____ 500 _________;380
10Ê128Ê847;15.09.2014 13:00;______ _____ 500 _________;380;___ _________;0
10Ê182Ê709;03.10.2016 16:46;___ _________;0;________ 2015;399
10Ê005Ê344;09.12.2012 15:13;___ _________;0;______ _____ 500 _________;380
10Ê083Ê716;22.10.2016 9:43;___ _________;0;________ 2015;399
10Ê042Ê462;10.12.2012 12:53;___ _________;0;_______;300
10Ê010Ê262;15.09.2014 13:02;______ _____ 600 _________;480;___ _________;0
10Ê180Ê805;30.08.2016 10:47;___ _________;0;_____ ______ 70;350
10Ê180Ê205;13.08.2016 9:41;___ _________;0;_____ ______ 70;350
10Ê034Ê064;20.01.2016 11:44;___ _________;0;_____ ______ 50;300
10Ê093Ê014;01.09.2016 8:57;_____ ______ 50;300;___ _________;0
10Ê013Ê856;16.10.2016 9:15;___ _________;0;_____ ______ 70;350
10Ê089Ê736;12.12.2012 15:20;___ _________;0;______ _____ 500 _________;380
10Ê136Ê387;28.11.2014 6:33;______ _____ 500 _________;380;___ _________;0
10Ê000Ê213;27.10.2014 12:58;________;400;___ _________;0
10Ê086Ê362;13.12.2012 20:51;___ _________;0;______ _____ 500 _________;380
10Ê145Ê831;21.10.2014 11:42;___ _________;0;________;400
10Ê125Ê778;24.09.2014 13:05;______ _____ 500 _________;380;___ _________;0
10Ê100Ê669;06.10.2014 14:56;______ _____ 500 _________;380;___ _________;0
10Ê034Ê361;13.10.2014 13:29;________;400;___ _________;0
10Ê070Ê416;21.11.2012 11:55;___ _________;0;______ _____ 500 _________;380
10Ê090Ê787;15.12.2012 16:31;___ _________;0;______ _____ 500 _________;380
10Ê060Ê307;16.10.2014 14:19;___ _________;0;________;400
10Ê075Ê112;17.10.2014 13:04;______ _____ 600 _________;480;___ _________;0
10Ê182Ê709;07.10.2016 8:21;________ 2015;399;___ _________;0
10Ê180Ê805;02.12.2016 8:55;_____ ______ 70;350;___ _________;0
10Ê090Ê683;20.12.2012 11:14;___ _________;0;_______;300
10Ê090Ê819;20.12.2012 11:58;___ _________;0;______ _____ 600 _________;480
10Ê024Ê836;01.10.2014 14:19;______ _____ 600 _________;480;___ _________;0
10Ê025Ê725;09.09.2014 11:05;______ _____ 500 _________;380;________;400
10Ê133Ê871;05.11.2014 11:11;______ _____ 600 _________;480;________;400
10Ê008Ê302;26.01.2015 16:29;______ _____ 500 _________;380;________;400
10Ê128Ê213;19.09.2014 13:09;______ _____ 500 _________;380;___ _________;0
10Ê029Ê362;25.12.2012 16:19;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê171Ê428;29.01.2016 17:43;___ _________;0;________ 2015;399
10Ê123Ê166;03.10.2014 13:58;______ _____ 500 _________;380;___ _________;0
10Ê090Ê820;26.12.2012 10:21;___ _________;0;______ _____ 500 _________;380
10Ê142Ê088;19.08.2014 13:14;___ _________;0;______ _____ 500 _________;380
10Ê134Ê118;05.09.2014 17:41;_________;599;________;400
10Ê089Ê252;27.12.2012 13:23;___ _________;0;______ _____ 500 _________;380
10Ê040Ê474;27.12.2012 15:47;___ _________;0;______ _____ 500 _________;380
10Ê134Ê075;28.12.2016 8:21;_______ _______ 70;350;___ _________;0
10Ê066Ê713;24.05.2012 21:43;______ _____ 500;500;______ _____ 500 _________;380
10Ê125Ê778;20.10.2014 14:19;___ _________;0;________;400
10Ê094Ê666;29.09.2014 13:46;______ _____ 500 _________;380;________;400
10Ê044Ê329;07.11.2014 10:31;___ _________;0;________;400
10Ê109Ê690;25.09.2014 15:29;_______;300;________;400
10Ê159Ê519;25.11.2016 0:05;________ 2015;399;________ 200 ____;449
10Ê091Ê660;03.01.2013 14:15;___ _________;0;______ _____ 500 _________;380
10Ê038Ê912;21.02.2016 9:55;___ _________;0;_____ ______ 70;350
10Ê176Ê887;07.07.2016 8:10;_________ 200;200;______ 30 __/_;0
10Ê021Ê485;10.09.2014 13:29;______ _____ 500 _________;380;________;400
10Ê092Ê454;09.01.2013 11:11;___ _________;0;______ _____ 500 _________;380
10Ê061Ê625;20.11.2013 13:31;___ _________;0;______ _____ 500 _________;380
10Ê061Ê625;02.10.2014 15:45;______ _____ 500 _________;380;___ _________;0
10Ê070Ê784;12.01.2017 8:42;_______;300;___ _________;0
10Ê070Ê246;12.01.2013 15:23;___ _________;0;_______;300
10Ê070Ê246;12.01.2013 15:24;_______;300;______ _____ 500 _________;380
10Ê178Ê658;12.01.2017 9:26;_____ ______ 70;350;___ _________;0
10Ê162Ê023;03.09.2015 16:38;___ _________;0;________ 2015;399
10Ê173Ê766;14.03.2016 16:57;___ _________;0;________ 2015;399
10Ê062Ê259;20.10.2014 14:40;______ _____ 500 _________;380;___ _________;0
10Ê091Ê320;15.01.2013 14:11;___ _________;0;______ _____ 600 _________;480
10Ê099Ê315;02.10.2014 15:51;_______;300;___ _________;0
10Ê143Ê771;27.10.2016 8:23;________ 200 ____;449;___ _________;0
10Ê119Ê760;02.10.2014 15:53;______ _____ 600 ____;480;___ _________;0
10Ê022Ê897;11.09.2014 13:24;______ _____ 500 _________;380;___ _________;0
10Ê128Ê071;01.10.2014 14:44;______ _____ 600 _________;480;___ _________;0
10Ê142Ê371;26.04.2016 0:03;______ _____ 500 _________;380;_______ _______ 70;350
10Ê092Ê924;17.01.2013 19:24;___ _________;0;______ _____ 600 _________;480
10Ê034Ê870;18.01.2013 16:13;___ _________;0;______ _____ 600 _________;480
10Ê013Ê199;08.04.2016 8:39;________;400;___ _________;0
10Ê133Ê873;07.10.2014 14:55;______ _____ 500 _________;380;___ _________;0
10Ê117Ê172;03.09.2014 15:47;______ _____ 500 _________;380;___ _________;0
10Ê096Ê152;26.07.2016 8:24;_____ ______ 70;350;___ _________;0
10Ê018Ê671;10.12.2016 8:28;___________ 50;250;___ _________;0
10Ê093Ê463;22.01.2013 12:49;___ _________;0;______ _____ 600 _________;480
10Ê124Ê978;01.09.2014 0:55;__600;600;________;400
10Ê143Ê671;15.09.2014 14:20;___ _________;0;________;400
10Ê012Ê732;18.08.2015 9:27;_______;300;___ _________;0
10Ê011Ê113;24.09.2014 14:17;_____;370;___ _________;0
10Ê060Ê307;08.10.2016 10:22;___ _________;0;________ 2015;399
10Ê025Ê725;12.11.2014 10:21;________;400;___ _________;0
10Ê092Ê952;24.01.2013 15:14;___ _________;0;______ _____ 500 _________;380
10Ê176Ê887;07.07.2016 8:27;______ 30 __/_;0;_________ 200;200
10Ê153Ê338;16.02.2015 14:37;___ _________;0;________;400
10Ê173Ê766;16.03.2016 9:44;________ 2015;399;_____ ______ 50;300
10Ê091Ê848;02.04.2016 9:53;___ _________;0;________;400
10Ê136Ê488;30.10.2014 11:39;_______+;500;___ _________;0
10Ê149Ê434;20.12.2014 10:02;___ _________;0;________;400
10Ê080Ê947;04.06.2016 9:39;___ _________;0;________ 2015;399
10Ê093Ê337;26.01.2013 18:50;___ _________;0;______ _____ 500 _________;380
10Ê025Ê246;10.09.2014 12:05;______ _____ 500 _________;380;________;400
10Ê025Ê246;12.11.2014 10:29;________;400;___ _________;0
10Ê093Ê163;28.01.2013 16:59;___ _________;0;______ _____ 500 _________;380
10Ê112Ê074;17.10.2014 14:27;______ _____ 500 _________;380;___ _________;0
10Ê019Ê699;12.11.2014 10:30;______ _____ 500 _________;380;___ _________;0
10Ê062Ê878;03.10.2014 15:27;___ _________;0;________;400
10Ê094Ê664;29.01.2013 19:16;___ _________;0;______ _____ 500 _________;380
10Ê146Ê146;23.12.2014 8:52;________;400;___ _________;0
10Ê162Ê023;13.01.2016 8:25;________ 2015;399;___ _________;0
10Ê178Ê996;09.07.2016 9:48;___ _________;0;________ 2015;399
10Ê098Ê395;13.10.2014 15:00;______ _____ 500 _________;380;___ _________;0
10Ê162Ê246;22.10.2016 9:45;___ _________;0;________ 2015;399
10Ê144Ê378;26.09.2014 13:46;___ _________;0;________;400
10Ê035Ê127;25.06.2016 8:47;___ _________;0;___________ 70;350
10Ê140Ê362;01.07.2015 11:07;_______;300;_____ ______ 50;300
10Ê182Ê806;02.10.2016 9:24;___ _________;0;________ 2015;399
10Ê041Ê805;02.10.2014 16:19;______ _____ 500 _________;380;___ _________;0
10Ê141Ê761;14.11.2014 10:04;_________;599;___ _________;0
10Ê063Ê212;03.09.2014 16:03;_______;300;___ _________;0
10Ê094Ê116;17.09.2014 14:26;______ _____ 600 _________;480;___ _________;0
10Ê176Ê710;14.05.2016 9:52;___ _________;0;_____ ______ 70;350
10Ê140Ê362;02.12.2016 9:05;_____ ______ 50;300;___ _________;0
10Ê094Ê450;01.02.2013 17:12;___ _________;0;______ _____ 500 _________;380
10Ê147Ê631;06.08.2016 9:14;___ _________;0;_____ ______ 50;300
10Ê032Ê013;22.09.2014 16:30;______ _____ 500 _________;380;________;400
10Ê093Ê319;04.02.2013 12:53;___ _________;0;______ _____ 500 _________;380
10Ê038Ê056;06.07.2016 10:03;________;400;___ _________;0
10Ê041Ê227;04.02.2013 16:17;___ _________;0;______ _____ 500 _________;380
10Ê131Ê746;30.12.2015 16:42;________;400;___________ 50;250
10Ê057Ê197;30.12.2016 8:22;________;400;___ _________;0
10Ê131Ê590;23.09.2016 8:52;________;400;___ _________;0
10Ê043Ê683;18.06.2016 9:50;___ _________;0;________ 2015;399
10Ê038Ê314;06.02.2013 10:49;___ _________;0;_______;300
10Ê089Ê697;06.02.2013 14:34;___ _________;0;______ _____ 500 _________;380
10Ê109Ê645;06.10.2014 16:41;___ _________;0;________;400
10Ê067Ê757;12.09.2014 16:05;______ _____ 500 _________;380;________;400
10Ê112Ê724;19.07.2013 20:23;___ _________;0;______ _____ 600 _________;480
10Ê106Ê106;22.11.2014 14:41;______ _____ 500 _________;380;________;400
10Ê035Ê910;15.03.2016 10:14;______ _____ 600 ____;480;________;400
10Ê089Ê697;07.02.2013 14:41;_______;300;______ _____ 500 _________;380
10Ê080Ê726;27.12.2016 14:26;___ _________;0;_____ ______ 50;300
10Ê145Ê851;22.10.2014 15:36;___ _________;0;________;400
10Ê092Ê651;08.02.2013 19:50;___ _________;0;_______;300
10Ê092Ê651;08.02.2013 19:51;_______;300;______ _____ 500 _________;380
10Ê139Ê417;05.11.2014 13:10;_______;300;___ _________;0
10Ê173Ê842;16.03.2016 9:58;___ _________;0;_____ ______ 70;350
10Ê060Ê137;20.06.2014 13:01;___ _________;0;______ _____ 500 _________;380
10Ê060Ê137;03.09.2014 16:14;______ _____ 500 _________;380;___ _________;0
10Ê095Ê102;11.02.2013 13:01;___ _________;0;______ _____ 600 _________;480
10Ê027Ê398;28.05.2016 9:43;___ _________;0;_____ ______ 70;350
10Ê081Ê311;31.10.2014 12:14;___ _________;0;________;400
10Ê096Ê032;12.02.2013 13:06;___ _________;0;_______;300
10Ê085Ê097;05.11.2014 13:12;______ _____ 500 _________;380;___ _________;0
10Ê170Ê477;12.01.2016 9:36;___ _________;0;_____ ______ 70;350
10Ê159Ê519;01.12.2016 8:57;________ 200 ____;449;___ _________;0
10Ê124Ê978;28.01.2016 8:44;________;400;___ _________;0
10Ê064Ê768;26.04.2016 0:03;______ _____ 500 _________;380;_______ _______ 70;350
10Ê180Ê122;02.12.2016 14:08;________;400;___ _________;0
10Ê121Ê997;24.09.2014 15:28;______ _____ 500 _________;380;___ _________;0
10Ê095Ê036;16.02.2013 12:12;___ _________;0;_______;300
10Ê182Ê878;05.10.2016 16:57;___ _________;0;________ 2015;399
10Ê086Ê631;18.02.2013 12:11;___ _________;0;______ _____ 500 _________;380
10Ê095Ê165;18.02.2013 13:46;___ _________;0;______ _____ 500 _________;380
10Ê096Ê996;18.02.2013 17:04;___ _________;0;______ _____ 500 _________;380
10Ê080Ê726;31.12.2016 9:54;_____ ______ 50;300;_____ ______ 70;350
